ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GULB3001(3) Трусы для девочек Белый(2);Трусики-слипы для девочек. Комплект из 3-х классических трусиков для девочек. Средняя посадка.Состав: 100%хлопокВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: БАЗОВЫЕ МОДЕЛИ;369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196089743.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196089764.jpg;"1(86);2(92);3(98);4(104);5(110)"
;GULB3001/1(3) Трусы для девочек Белый(2);Трусики-слипы для девочек. Комплект из 3-х классических трусиков для девочек. Средняя посадка.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: БАЗОВЫЕ МОДЕЛИ;384.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196089783.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196089794.jpg;"1(86);2(92);3(98);4(104)"
;GULB4001(3) Трусы для девочек Белый(2);Трусики-слипы для девочек. Комплект из 3-х классических трусиков для девочек. Средняя посадка.Состав: 100%хлопокВозрастная группа: Дети  (7-11)Сезон: ВеснаКоллекция: БАЗОВЫЕ МОДЕЛИ;403.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196090713.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196090721.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196090744.jpg;"10(140);11(146);6(116);7(122);8(128);9(134)"
;GULB4001/1(3) Трусы для девочек Белый(2);Трусики-слипы для девочек. Комплект из 3-х классических трусиков для девочек. Средняя посадка.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (7-11)Сезон: ВеснаКоллекция: БАЗОВЫЕ МОДЕЛИ;422.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196090763.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196090781.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196090804.jpg;"10(140);11(146);6(116);7(122);8(128);9(134)"
;GULC3209/1(3) Трусы для девочек Малиновый/малиновый/белый(25/25/2);Трусы для девочекСостав: низ: 93%хлопок 7%эластан, низ2: 93%хлопок 7%эластан, низ:3 93%хлопок 7%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: БЕЛЬЕ И ПИЖАМЫ;294.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196093103.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196093121.jpg;"2;3"
;GEG3046(3) Носки для девочек Серый/красный/красный(40/18/18);Носки для девочекСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ЗимаКоллекция:;176.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094923.jpg;"12/14;14/16;16/18;18/20;20/22"
;GEG3047(3) Носки для девочек Персиковый/красный/красный(33/18/18);Носки для девочекСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ЗимаКоллекция: HAPPY MOO YEAR;176.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094973.jpg;"12/14;14/16;16/18;18/20"
;GEG3196(2) Носки для девочек Бежевый/красный(3/18);Носки для девочек. В комплекте 2 пары носков.Состав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: DERZKAYA;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196095173.jpg;"12/14;14/16;16/18;18/20;20/22"
;GEG3219(2) Носки для девочек Белый/изумрудный(2/14);Носки для девочекСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: КРУИЗНЫЙ АУТФИТ;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196095223.jpg;"12/14"
;GEG3220(2) Носки для девочек Белый/розовый(2/37);Носки для девочек. 2 пары в упаковке.Состав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: ПОТРЕНДИМ;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196095243.jpg;"12/14"
