ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;BUHB4001(2) Трусы для мальчиков Синий/темно-синий(41/54);Трусы-шорты для мальчиков. Набор из 2-х трусов. Контрастная отстрочка в области гульфика.Состав: низ: 93%хлопок 7%эластан, низ2: 93%хлопок 7%эластанВозрастная группа: Дети  (7-11)Сезон: ВеснаКоллекция: БЕЛЬЕ И ПИЖАМЫ;479.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196086893.jpg;"10(140);11(146);6(116);7(122);8(128);9(134)"
;BEG3045(3) Носки для мальчиков Голубой/серый/голубой(9/40/9);Носки для мальчиковСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ЗимаКоллекция:;176.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196093493.jpg;"12/14;14/16;16/18"
;BEG3048(3) Носки для мальчиков Синий/бордовый/синий(41/5/41);Носки для мальчиковСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ЗимаКоллекция: HAPPY MOO YEAR;176.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196093513.jpg;"12/14;14/16;16/18;18/20"
;BEG3214(2) Носки для мальчиков Микс/лазурный(0/21);Носки для мальчиков. 2 пары в упаковке.Состав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: OCEAN EMOTION;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196093823.jpg;"12/14;14/16;16/18"
;BEG3216(2) Носки для мальчиков Серый/серый(40/40);Носки для мальчиков. 2 пары в упаковке.Состав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: ТЕХНОГЕНИЙ;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094793.jpg;"12/14;14/16"
;BEG3217(2) Носки для мальчиков Синий/серый(41/40);Носки для мальчиковСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: БУДЬ В ТОПЕ;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094813.jpg;"12/14"
;BEGY3214(2) Носки для мальчиков Микс/лазурный(0/21);Носки для мальчиков. 2 пары в упаковке.Состав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: OCEAN EMOTION;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094833.jpg;"12/14;14/16;18/20"
;BEGY3216(2) Носки для мальчиков Серый/серый(40/40);Носки для мальчиков. 2 пары в упаковке.Состав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: ТЕХНОГЕНИЙ;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094853.jpg;"12/14"
;BEGY3217(2) Носки для мальчиков Серый/джинс(40/10);Носки для мальчиковСостав: 76%хлопок 21%полиэстер 3%эластанВозрастная группа: Дети  (1-6)Сезон: ВеснаКоллекция: БУДЬ В ТОПЕ;118.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196094873.jpg;"12/14"
;BZWL3073/1 Куртка для мальчиков Синий(41);Куртка для мальчиков. Рекомендованный температурный режим: не ниже -15°С. Универсальная модель в спортивном стиле. Базовые идеальные лекала, прямой силуэт и шрифтовой принт. Двухшовный неотстегивающийся капюшон. Пластиковые стопперы для регулировки объема капюшона в лицевой части. Боковые и нагрудный карманы на молнии. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из материала верха.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ФОРСАЖ;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196119103.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119121.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119142.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119154.jpg;"3;4"
;BZWL3073/2 Куртка для мальчиков Темно-серый(43);Куртка для мальчиков. Рекомендованный температурный режим: не ниже -15°С. Куртка умеренного объёма с втачным рукавом. Куртка прямого силуэта, слегка зауженная к низу. Фигурные декоративные строчки в сочетании с утеплителем создают необычную рельефность. Капюшон отстегивается. Боковые карманы на молнии. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из рибаны.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ФОРСАЖ;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196119173.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119191.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119212.jpg;"2;3;5;6"
;BZWL3074/1 Куртка для мальчиков Серый(40);Куртка для мальчиков. Рекомендованный температурный режим: не ниже -15°С. Куртка прямого силуэта. Неотстегивающийся двухшовный капюшон. Боковые карманы на молнии. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из рибаны.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ОСВЕЖАЙС;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196119293.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119311.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119322.jpg;"3;4;5;6"
;BZWL3075/1 Куртка для мальчиков Коричневый(17);Куртка для мальчиков. Рекомендованный температурный режим: не ниже -15°С. Базовые классические лекала, прямой силуэт, оптимальная длина, флисовый подклад, декоративные контрастные элементы и мех! Меховая опушка отстегивается. Двухцветная пластиковая молния с металлическим слайдером. Фиксирующая строчка предохраняет планку от «заедания» в процессе застегивания. Внутренний шнур со стоппером регулирует объем куртки по низу. Манжета по низу рукава наполовину из рибаны, регулируется патой на липе.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ШЕРЛОК В ТРЕНДЕ!;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196119423.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119441.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119452.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119474.jpg;"3"
