ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GFAD1435(Q) Комплект для девочек Голубой(9);Комплект для девочек (платье и шапочка).Состав: верх: 100%хлопок, верх2: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: СНЕЖНЫЙ КОМОЧЕК;255.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196096153.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196096161.jpg;"1-3;3-6"
;BFH1010(2) Шорты для мальчика Изумрудный/серый(14/40);Шорты для мальчикаСостав: низ: 100%хлопок, низ2: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ФОРВАРД С ПЕЛЕНОК;294.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196096183.jpg;"1-3"
;BZNL1001 Комбинезон для мальчиков Темно-синий(54);Комбинезон для мальчиков. Рекомендуемый температурный режим: не ниже -15°С. Утеплитель синтепон. Прямой силуэт с рукавом реглан. Двухшовный капюшон с резинкой по внешнему краю. Курточная ткань с двусторонним водоотталкивающим покрытием. Широкая ветрозащитная планка. Удлиненная молния, ее нижняя часть смещена и заканчивается на левой брючине. Спинка по талии присборена на внутреннюю резину. Боковые карманы на молнии с листочкой. Манжета рукавов и брючин на резинке. Эластичные регулируемые штрипки. Световозвращающие элементы.Состав: 100% полиэстер, подклад: 100%хлопок, подклад рукава и брюк: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: ВЕРХНЯЯ ОДЕЖДА ДЛЯ МАЛЫШЕЙ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196218663.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196218681.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196218702.jpg;"2"
;BZNL1002 Комбинезон для мальчиков Синий(41);Комбинезон для мальчиков. Рекомендуемый температурный режим: не ниже -15°С. Утеплитель синтепон. Прямой силуэт с рукавом реглан. Двухшовный капюшон с резинкой по внешнему краю. Курточная ткань с двусторонним водоотталкивающим покрытием. Широкая ветрозащитная планка. Удлиненная молния, ее нижняя часть смещена и заканчивается на левой брючине. Спинка по талии присборена на внутреннюю резину. Боковые карманы на молнии с листочкой. Манжета рукавов и брючин на резинке. Эластичные регулируемые штрипки. Световозвращающие элементы.Состав: 100% полиэстер, подклад: 100%хлопок, подклад рукава и брюк: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: ВЕРХНЯЯ ОДЕЖДА ДЛЯ МАЛЫШЕЙ;1467.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196218723.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196218731.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196218752.jpg;"2;3"
;BZNL1003 Комбинезон для мальчиков Синий(41);Комбинезон для мальчиков. Рекомендуемый температурный режим: не ниже -15°С. Утеплитель синтепон. Прямой силуэт с рукавом реглан. Двухшовный капюшон с резинкой по внешнему краю. Курточная ткань с двусторонним водоотталкивающим покрытием. Широкая ветрозащитная планка. Удлиненная молния, ее нижняя часть смещена и заканчивается на левой брючине. Спинка по талии присборена на внутреннюю резину. Боковые карманы на молнии с листочкой. Манжета рукавов и брючин на резинке. Эластичные регулируемые штрипки. Световозвращающие элементы.Состав: 100% полиэстер, подклад: 100%хлопок, подклад рукава и брюк: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: ВЕРХНЯЯ ОДЕЖДА ДЛЯ МАЛЫШЕЙ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196218773.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196218791.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196218802.jpg;"2"
;GZNL1002 Комбинезон для девочек Изумрудный(14);Комбинезон для девочек. Рекомендуемый температурный режим: не ниже -15°С. Утеплитель синтепон. Прямой силуэт с рукавом реглан. Двухшовный капюшон с резинкой по внешнему краю. Курточная ткань с двусторонним водоотталкивающим покрытием. Широкая ветрозащитная планка. Удлиненная молния, ее нижняя часть смещена и заканчивается на левой брючине. Спинка по талии присборена на внутреннюю резину. Боковые карманы на молнии с листочкой. Манжета рукавов и брючин на резинке. Эластичные регулируемые штрипки. Световозвращающие элементы.Состав: 100% полиэстер, подклад: 100%хлопок, подклад рукава и брюк: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: ВЕРХНЯЯ ОДЕЖДА ДЛЯ МАЛЫШЕЙ;1467.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196219593.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196219611.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196219622.jpg;"2"
;BFQ1010 Шапочка для мальчиков Оранжевый(31);Шапочка для мальчиковСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ФОРВАРД С ПЕЛЕНОК;148.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862313.jpg;"1-3"
;BFQ1010/1 Шапочка для мальчиков Изумрудный(14);Шапочка для мальчиковСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ФОРВАРД С ПЕЛЕНОК;89.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862333.jpg;"1-3"
;BFQ1010/1 Шапочка для мальчиков Лазурный(21);Шапочка для мальчиковСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ФОРВАРД С ПЕЛЕНОК;89.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862343.jpg;"1-3"
;BFQ1011 Шапочка для мальчиков Оранжевый(31);Шапочка для мальчиковСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: МОЁ СОКРОВИЩЕ;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862363.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196862381.jpg;"1-3"
;GFQ1016 Шапочка для девочек Ментол(27);Шапочка для девочекСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: МАМИНА ПРИНЦЕССКА;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862853.jpg;"1-3"
;GFQ1017 Шапочка для девочек Коралловый(16);Шапочка для девочекСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ПАПИНА ПИРАТКА;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862883.jpg;"1-3"
;GFQ1017/1 Шапочка для девочек Бирюза(4);Шапочка для девочекСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ПАПИНА ПИРАТКА;89.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862903.jpg;"1-3;3-6;6-9;9-12"
;GFQ1201/1 Шапка для девочек Джинс(10);Шапочка для девочек. Двойная шапочка с блеском золотого металлика в принте, декоративные ушки.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: #TRENDY BABY;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196863263.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196863281.jpg;"1-3"
;BFRJ1822 Комбинезон для мальчиков Красный(18);Комбинезон для мальчиков из интерлока с длинным рукавом. Застёжка на кнопки по центру изделия и по ножкам. Горловина и низ брючин обработаны пайпингом. Glossy rubber принт с милым символом года, глиттером и золотом. Перевод Счастливого МУУ года. Два варианта исполнения с ползунками для возраста 1-6 месяцев и брючками для возраста 6-12 месяцев.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ЗимаКоллекция: HAPPY MOO YEAR;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196869053.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869071.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869092.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869114.jpg;"1-3;6-9;9-12"
