ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;MFATH6839 Комплект мужской Серый(40);Комплект мужской футболка и шорты. Рост 176 см. Футболка прямого кроя из меланжевого трикотажа. Стойкий эластичный принт. Перевод Делай это. Шорты из мягкого футера с боковыми карманами. Пояс на широкой резинке с регулировкой объема шнуром.Состав: верх: 100%хлопок, вставка: 95%хлопок 5%эластан , низ: 65%полиэстер 35%хлопокВозрастная группа: StandardСезон: ВеснаКоллекция: ПИЖАМА-ПАТИ!;978.0;15;;https://optom-brend.ru/image/data/transfer/pelican/MFATH6839%D1%81%D0%B5%D1%801.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196186912.jpg https://optom-brend.ru/image/data/transfer/pelican/MFATH6839%D1%81%D0%B5%D1%802.jpg;"L;M;XL;XXL"
;YFT6879 Футболка мужская Серый(40);Футболка мужская умеренного объема. Рост 188 см. Шрифтовой normal принт. Перевод Делай это сейчас.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437959343.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959382.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959361.jpg;"L;XL"
;YFT6878 Футболка мужская Белый(2);Футболка мужская свободного объема. Рост 188 см. Шрифтовой normal принт. Перевод Ты можешь, если так думаешь, что можешь.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437959283.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959301.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959322.jpg;"L;M;XL;XXL"
;YFT6877 Футболка мужская Черный(49);Футболка мужская умеренного объема. Рост 188 см. Суперпрочный принт с градиентом из оттенков серебристого металлика и легким переливом. Перевод Я надежный, сильный и скромный.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437959223.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959241.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959262.jpg;"L;XL;XXL"
;YFT6876 Футболка мужская Черный(49);Футболка мужская свободного объема. Рост 188 см. Шрифтовой rubber принт. Перевод Никогда не сдавайся, потому что крутые вещи требуют времени.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437959133.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959151.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959172.jpg;"XL"
;SFT6879 Футболка мужская Серый(40);Футболка мужская умеренного объема. Рост 176 см. Шрифтовой normal принт. Перевод Делай это сейчас.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437959043.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959082.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959061.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959104.jpg;"L;M;XL;XXL"
;SFT6878 Футболка мужская Белый(2);Футболка мужская свободного объема. Рост 176 см. Шрифтовой normal принт. Перевод Ты можешь, если так думаешь, что можешь.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437958933.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437958962.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437958951.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959015.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437958994.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437959026.jpg;"L;M;XL;XXL"
;SFT6877 Футболка мужская Черный(49);Футболка мужская умеренного объема. Рост 176 см. Суперпрочный принт с градиентом из оттенков серебристого металлика и легким переливом. Перевод Я надежный, сильный и скромный.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;685.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16437958853.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437958871.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437958892.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16437958914.jpg;"L;XL;XXL"
;MUB6001 Трусы мужские Темно-серый(43);Классические мужские трусы-боксеры. Гульфик на пуговицах на передней части изделия.Состав: 100%хлопокВозрастная группа: StandardСезон: Весна;362.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16433650723.jpg;"3XL(54);L(48);XL(50);XXL(52)"
;MULB6851 Трусы мужские Терракотовый(44);Мужские трусы слипы со средней посадкой. По талии широкий тканый эластик в полоску. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;226.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615813.jpg;"XL;XXL"
;MULB6848 Трусы мужские Черный(49);Мужские трусы слипы со средней посадкой. По талии широкий тканый эластик с вытканным вкруговую текстом. Перевод Антигерой. Обработка контрастным пайпингом в области гульфика. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;226.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615683.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16427615701.jpg;"L;XL;XXL"
;MULB6848 Трусы мужские Светло-серый(53);Мужские трусы слипы со средней посадкой. По талии широкий тканый эластик с вытканным вкруговую текстом. Перевод Антигерой. Обработка контрастным пайпингом в области гульфика. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;226.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615673.jpg;"L;M;XL;XXL"
;MULB6848 Трусы мужские Красный(18);Мужские трусы слипы со средней посадкой. По талии широкий тканый эластик с вытканным вкруговую текстом. Перевод Антигерой. Обработка контрастным пайпингом в области гульфика. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;226.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615653.jpg;"L;XL;XXL"
;MUHB6849 Трусы мужские Синий(41);Мужские трусы шорты со средней посадкой. По талии широкий тканый эластик с вытканным вкруг текстом. Обработка декоративной отсрочкой в области гульфика. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615633.jpg;"L;XL;XXL"
;MUHB6849 Трусы мужские Серый(40);Мужские трусы шорты со средней посадкой. По талии широкий тканый эластик с вытканным вкруг текстом. Обработка декоративной отсрочкой в области гульфика. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615593.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16427615611.jpg;"L;XL;XXL"
;MUHB6849 Трусы мужские Зеленый(12);Мужские трусы шорты со средней посадкой. По талии широкий тканый эластик с вытканным вкруг текстом. Обработка декоративной отсрочкой в области гульфика. Продольный шов на передней части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: Весна;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16427615573.jpg;"L;M;XL;XXL"
;TFATP6871 Комплект мужской Черный(49);Комплект мужской. Футболка среднего объёма. Стойкий эластичный rubber принт с серебряным и золотым металликом. В меру свободные брюки из тонкого футера с манжетами из основной ткани. Карманы в боковых швах. Пояс на комфортной резинке регулируется шнурком.Состав: верх: 100%хлопок, низ: 65%полиэстер 35%хлопокВозрастная группа: StandardСезон: Зима;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16385260173.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385260191.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385260212.jpg;"L;M;XL;XXL"
;MFATP6872 Комплект мужской Темно-синий(54);Комплект мужской.Футболка прямого кроя. Линеарный all over принт и центральный rubber принт печенюшка. Перевод Хочешь кусочек меня? Брюки из мягкого футера с боковыми карманами. Пояс на широкой резинке регулируется внешним шнурком. Манжеты из основной ткани.Состав: верх: 100%хлопок, низ: 65%полиэстер 35%хлопокВозрастная группа: StandardСезон: Зима;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16385260053.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385260071.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385260092.jpg;"L;XL;XXL"
;MFATP6871 Комплект мужской Черный(49);Комплект мужской.Футболка среднего объёма. Стойкий эластичный rubber принт с серебряным и золотым металликом. В меру свободные брюки из тонкого футера с манжетами из основной ткани. Карманы в боковых швах. Пояс на комфортной резинке регулируется шнурком.Состав: верх: 100%хлопок, низ: 65%полиэстер 35%хлопокВозрастная группа: StandardСезон: Зима;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16385260003.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385260021.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385260032.jpg;"L;M;XL;XXL"
;YFANP6871 Комплект мужской Черный(49);Костюм из футера с начесом. Свитшот комфортного объёма со стойким и эластичным фоновым normal принтом, перевод Я ценный, глянцевым шрифтом, перевод Рождество приходит и медведем из золотого металлика. Горловина из рибаны, манжеты по низу рукавов и изделия из декоративной резины с вытканным рисунком, перевод Рождество. Брюки среднего объёма с манжетами из декоративной резины с вытканным рисунком и карманами в боковых швах. Пояс на широкой резинке регулируется шнурком.Состав: верх: 60%хлопок 40%полиэстер, низ: 60%хлопок 40%полиэстерВозрастная группа: StandardСезон: Зима;1760.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16385259843.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385259861.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385259882.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385259904.jpg;"L;M;XL;XXL"
;SFANP6871 Комплект мужской Черный(49);Костюм из футера с начесом. Свитшот комфортного объёма со стойким и эластичным фоновым normal принтом, перевод Я ценный, глянцевым шрифтом, перевод Рождество приходит и медведем из золотого металлика. Горловина из рибаны, манжеты по низу рукавов и изделия из декоративной резины с вытканным рисунком, перевод Рождество. Брюки среднего объёма с манжетами из декоративной резины с вытканным рисунком и карманами в боковых швах. Пояс на широкой резинке регулируется шнурком.Состав: верх: 60%хлопок 40%полиэстер, низ: 60%хлопок 40%полиэстерВозрастная группа: StandardСезон: Зима;1760.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16385259783.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385259791.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385259812.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16385259834.jpg;"XL;XXL"
;MUHA6827/1 Трусы мужские Темно-синий(54);Мужские трусы шорты. Низкая посадка. По талии широкий тканый эластик в полоску. В области гульфика и по ноге обработка пайпингом. Продольный шов на передней части изделия и по спинке. Прочный эластичный принт на боковой части изделия.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: ОсеньКоллекция:;235.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16268036503.jpg;"M"
