ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GFTS8129 Футболка для девочек Светло-серый(53);Футболка для девочек полуприлегающего силуэта. Воротник узкая стойка с рюшей из основной ткани по верхнему краю. Сзади застежка на петлю пуговицу. Перед с отрезной кокеткой, по центру которой имитация планки с пуговицами. По краям вдоль планки вшиты рюши из основной ткани. Бантик из репсовой ленты закреплен пуговицей из жемчуга со стразами, застежка на кнопку сзади воротника.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (12-14)Сезон: ШколаКоллекция: ШКОЛА;758.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFTS8129_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_1%20%281%29.jpg https://optom-brend.ru/image/data/transfer/pelican/GFTS8129_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_2.jpg;"12;13;14"
;GFTS7129 Футболка для девочек Белый(2);Футболка для девочек полуприлегающего силуэта. Воротник узкая стойка с рюшей из основной ткани по верхнему краю. Сзади застежка на петлю пуговицу. Перед с отрезной кокеткой, по центру которой имитация планки с пуговицами. По краям вдоль планки вшиты рюши из основной ткани. Бантик из репсовой ленты закреплен пуговицей из жемчуга со стразами, застежка на кнопку сзади воротника.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (7-11)Сезон: ШколаКоллекция: ШКОЛА;642.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFTS7129%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9-1.jpg https://optom-brend.ru/image/data/transfer/pelican/GFTS7129%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9-2.jpg;"10;11;6;7;8;9"
;GFTS7129 Футболка для девочек Светло-серый(53);Футболка для девочек полуприлегающего силуэта. Воротник узкая стойка с рюшей из основной ткани по верхнему краю. Сзади застежка на петлю пуговицу. Перед с отрезной кокеткой, по центру которой имитация планки с пуговицами. По краям вдоль планки вшиты рюши из основной ткани. Бантик из репсовой ленты закреплен пуговицей из жемчуга со стразами, застежка на кнопку сзади воротника.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (7-11)Сезон: ШколаКоллекция: ШКОЛА;642.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFTS7129_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_4.jpg https://optom-brend.ru/image/data/transfer/pelican/GFTS7129_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_5.jpg;"10"
;GFT8136 Футболка для девочек Синий(41);Футболка для девочек полуприлегающего силуэта с отложным воротником на цельнокроеной стойке. Отрезная полукруглая кокетка из контрастного трикотажа. По шву втачивания кокетки и вдоль декоративной планки с пуговицами настрочено узкое эластичное кружево с фестонным краем. Маленький бантик из репсовой ленты в качестве изюминки. По спинке застежка на две пуговицы.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (12-14)Сезон: ШколаКоллекция: ШКОЛА;818.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT8136_%D0%A1%D0%98%D0%9D%D0%98%D0%99%2841%29_1.jpg https://optom-brend.ru/image/data/transfer/pelican/GFT8136_%D0%A1%D0%98%D0%9D%D0%98%D0%99%2841%29_2.jpg;"13"
;GFT8136 Футболка для девочек Светло-серый(53);Футболка для девочек полуприлегающего силуэта с отложным воротником на цельнокроеной стойке. Отрезная полукруглая кокетка из контрастного трикотажа. По шву втачивания кокетки и вдоль декоративной планки с пуговицами настрочено узкое эластичное кружево с фестонным краем. Маленький бантик из репсовой ленты в качестве изюминки. По спинке застежка на две пуговицы.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (12-14)Сезон: ШколаКоллекция: ШКОЛА;818.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT8136_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_1.jpg https://optom-brend.ru/image/data/transfer/pelican/GFT8136_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_2.jpg;"12;13;14"
;GFT7136 Футболка для девочек Синий(41);Футболка для девочек полуприлегающего силуэта с отложным воротником на цельнокроеной стойке. Отрезная полукруглая кокетка из контрастного трикотажа. По шву втачивания кокетки и вдоль декоративной планки с пуговицами настрочено узкое эластичное кружево с фестонным краем. Маленький бантик из репсовой ленты в качестве изюминки. По спинке застежка на две пуговицы.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (7-11)Сезон: ШколаКоллекция: ШКОЛА;700.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT7136%D1%81%D0%B8%D0%BD%D0%B8%D0%B9-1.jpg https://optom-brend.ru/image/data/transfer/pelican/GFT7136%D1%81%D0%B8%D0%BD%D0%B8%D0%B9-2.jpg;"6"
;GFT7136 Футболка для девочек Светло-серый(53);Футболка для девочек полуприлегающего силуэта с отложным воротником на цельнокроеной стойке. Отрезная полукруглая кокетка из контрастного трикотажа. По шву втачивания кокетки и вдоль декоративной планки с пуговицами настрочено узкое эластичное кружево с фестонным краем. Маленький бантик из репсовой ленты в качестве изюминки. По спинке застежка на две пуговицы.Состав: 93%хлопок 7%эластанВозрастная группа: Дети  (7-11)Сезон: ШколаКоллекция: ШКОЛА;700.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT7136_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_1.jpg https://optom-brend.ru/image/data/transfer/pelican/GFT7136_%D0%A1%D0%92%D0%95%D0%A2%D0%9B%D0%9E_%D0%A1%D0%95%D0%A0%D0%AB%D0%99%2853%29_2.jpg;"10;11;7;9"
;GFS8112 Юбка для девочек Темно-серый(43);Юбка для девочек А-силуэта из плотного, но мягкого трикотажного полотна. Новинка. На спинке потайная молния в среднем шве. По бокам и на спинке обтачной фигурный пояс, в верхний край которого вшита декоративная деталь с защипами. Перед сложной формы, с вшитой репсовой лентой для завязывания на бант спереди или на узел сзади.Состав: 60%вискоза 35%полиамид 5%эластанВозрастная группа: Дети  (12-14)Сезон: ШколаКоллекция: ШКОЛА;1401.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFS8112_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%2843%29.jpg https://optom-brend.ru/image/data/transfer/pelican/GFS8112_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%2843%29_detail.jpg https://optom-brend.ru/image/data/transfer/pelican/GFS8112_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%2843%29_back.jpg;"12;14"
;GFP7111 Брюки для девочек Темно-серый(43);Брюки для девочек из плотного мягкого трикотажа, прилегающие по бедрам и прямые от колена до низа. Новинка. Имитация карманов и гульфика. Пояс на резинке, внутренний шнурок для регулировки объема.Состав: 60%вискоза 35%полиамид 5%эластанВозрастная группа: Дети  (7-11)Сезон: ШколаКоллекция: ШКОЛА;1401.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFP7111_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%2843%29.jpg https://optom-brend.ru/image/data/transfer/pelican/GFP7111_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%2843%29_detail.jpg https://optom-brend.ru/image/data/transfer/pelican/GFP7111_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%2843%29_back.jpg;"10;11;6;7;8;9"
;GFJS8118 Джемпер для девочек Голубой(9);Джемпер для девочек полуприлегающего силуэта с длинным втачным рукавом из мягкой эластичной сетки. Рукав по окату с небольшой сборкой, объем рукава умеренный, книзу собран на манжету из основной ткани. Воротник узкая стойка с рюшей из сетки по верхнему краю. Сзади застежка на пуговицу. По переду настрочена кокетка из кружевного полотна с фестонным краем. По центру стойки декоративный бантик из репсовой ленты.Состав: 93%хлопок 7%эластан, вставка:1 85%нейлон 15%эластан, вставка:2 90%полиамид 10%эластанВозрастная группа: Дети  (12-14)Сезон: ШколаКоллекция: ШКОЛА;934.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFJS8118%D0%B3%D0%BE%D0%BB%D1%83%D0%B1%D0%BE%D0%B9-1.jpeg;"12;13"
