ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GOF3270/4 Сумка для девочек Оранжевый(31);Мягкая сумочка через плечо из искусственного меха с длинным регулируемым ремешком. Декор из двухсторонних пайеток с голографическим переливом.Состав: искусственная кожа, полиэстерВозрастная группа: For allСезон: Весна;489.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439723103.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723217.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723196.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723185.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723164.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723111.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723142.jpg;"15*4"
;GOF3270/3 Сумка для девочек Оранжевый(31);Формованная сумочка через плечо из искусственной лакированной голографической кожи с длинным тонким ремешком.Состав: искусственная кожа, поливинилхлоридВозрастная группа: For allСезон: Весна;539.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439723013.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723031.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723085.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723052.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439723064.jpg;"18*6*17"
;GOF3270/1 Сумка для девочек Красный(18);Сумка из искусственной кожи с зеркальным эффектом. Хорошо держит форму. Длинный регулируемый тканый ремешок, две застежки молнии, одно отделение и накладной карман со спинки сумки. Спереди яркий принт NEKAK #UVSEH НЕКАК #УВСЕХ.Состав: искусственная кожа, поливинилхлоридВозрастная группа: For allСезон: Весна;489.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722883.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722997.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722986.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722955.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722944.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722922.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722901.jpg;"17*7*12"
;GOF3269/5 Сумка для девочек Розовый(37);Мягкая сумочка через плечо из искусственного меха с длинным регулируемым ремешком. Декор из двухсторонних пайеток с голографическим переливом.Состав: искусственная кожа, полиэстерВозрастная группа: For allСезон: Весна;489.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722643.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722736.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722651.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722672.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722694.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722715.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722747.jpg;"15*4"
;GOF3269/4 Сумка для девочек Голубой(9);Сумочка через плечо из искусственной кожи с длинным регулируемым ремешком. Сумочка хорошо держит форму. Декор переворачивающиеся голографические полупрозрачные пайетки и объемная прозрачная перламутровая бабочка со вставками из перламутрового глиттера.Состав: искусственная кожа, полиуретан, полиэстерВозрастная группа: For allСезон: Весна;636.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722523.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722627.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722616.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722595.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722574.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722552.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722541.jpg;"21*13*21.5"
;GOF3269/2 Сумка для девочек Оранжевый(31);Сумочка в виде ананаса из искусственной лакированной кожи неонового цвета через плечо, с регулируемым ремешком. Хорошо держит форму. Изюминка полупрозрачный декоративный перламутровый карман, внутри которого рассыпаны голографические фигурные пайетки.Состав: искусственная кожа, поливинилхлоридВозрастная группа: For allСезон: Весна;539.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722433.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722451.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722462.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722484.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722505.jpg;"12*5.5*21.5"
;GOF3269/2 Сумка для девочек Желтый(11);Сумочка в виде ананаса из искусственной лакированной кожи неонового цвета через плечо, с регулируемым ремешком. Хорошо держит форму. Изюминка полупрозрачный декоративный перламутровый карман, внутри которого рассыпаны голографические фигурные пайетки.Состав: искусственная кожа, поливинилхлоридВозрастная группа: For allСезон: Весна;539.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722313.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722417.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722406.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722385.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722364.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722342.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722331.jpg;"12*5.5*21.5"
;GOF3269/1 Сумка для девочек Серебряный(39);Сумочка из искусственной кожи с голографическим лакированным покрытием в форме рыбки с длинным регулируемым ремешком. Сумка хорошо держит форму. Пришивной декор и двухсторонние пайетки с перламутровым блеском. Пуллер рыбка.Состав: искусственная кожа, поливинилхлорид, полиэстерВозрастная группа: For allСезон: Весна;539.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722183.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722265.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722244.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722201.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722222.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722286.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722297.jpg;"16*4.5*20"
;GOF3269/1 Сумка для девочек Розовый(37);Сумочка из искусственной кожи с голографическим лакированным покрытием в форме рыбки с длинным регулируемым ремешком. Сумка хорошо держит форму. Пришивной декор и двухсторонние пайетки с перламутровым блеском. Пуллер рыбка.Состав: искусственная кожа, поливинилхлорид, полиэстерВозрастная группа: For allСезон: Весна;539.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439722053.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722125.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722104.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722092.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722071.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722146.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722167.jpg;"16*4.5*20"
;GOF3268/6 Сумка для девочек Желтый(11);Мягкая сумочка через плечо из искусственного меха с длинным регулируемым ремешком. Декор из двухсторонних пайеток с голографическим переливом. Резиновый пуллер в виде лапки котенка.Состав: искусственная кожа, полиэстерВозрастная группа: For allСезон: Весна;489.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439721953.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721982.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722004.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721961.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722015.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439722036.jpg;"15*4"
;GOF3268/5 Сумка для девочек Желтый(11);Сумочка через плечо из искусственной кожи с длинным регулируемым ремешком. Сумочка хорошо держит форму. Декор переворачивающиеся голографические полупрозрачные пайетки и объемная прозрачная перламутровая бабочка со вставками из перламутрового глиттера.Состав: искусственная кожа, полиуретан, полиэстерВозрастная группа: For allСезон: Весна;636.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439721823.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721937.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721916.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721852.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721831.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721874.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721895.jpg;"15*12*15"
;GOF3268/3 Сумка для девочек Лаванда(20);Формованная сумочка через плечо из искусственной лакированной голографической кожи с длинным тонким ремешком. Перевод принта Ты сияешь девочка. Законодательница моды.Состав: искусственная кожа, поливинилхлоридВозрастная группа: For allСезон: Весна;539.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16439721693.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721786.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721765.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721744.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721807.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721722.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16439721701.jpg;"18*6*17"
