ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;2367029529-50 платье женское черный;100% полиэстер;1710.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2367029529-50.jpg;"L;S"
;2367029529-32 платье женское серый;100% полиэстер;1710.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2367029529-32.jpg;"L;M;S;XL"
;2265571471-60 футболка женская молочный;100% хлопок;798.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265571471-60.jpg;"L;M;XL;XS"
;2265571471-2 футболка женская ваниль;100% хлопок;798.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265571471-2.jpg;"XL;XS"
;2265571471-1 футболка женская белый;100% хлопок;798.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265571471-1.jpg;"L"
;2265551458-238 блузка женская бежевый графика мелкая;95% хлопок,5% эластан;456.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265551458-238.jpg;"M;S;XL;XS"
;2265548455-50 фуфайка женская черный;70% хлопок,30% полиэстер;798.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265548455-50.jpg;"XL;XS"
;2265547454-2 фуфайка женская ваниль;100% хлопок;684.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265547454-2.jpg;"XS"
;2265545452-9 блузка женская желтый;70% хлопок,30% полиэстер;912.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265545452-9.jpg;"S;XL"
;2265542434-50 блузка женская черный;95% хлопок,5% эластан;912.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265542434-50.jpg;"L;M;S;XL;XS"
;2265542434-41 блузка женская голубой;95% хлопок,5% эластан;912.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265542434-41.jpg;"L;M;S;XL;XS"
;2265542434-1 блузка женская белый;95% хлопок,5% эластан;912.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265542434-1.jpg;"L;M;S;XL;XS"
;2265541433-10 блузка женская лайм;98% хлопок,2% эластан;912.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265541433-10.jpg;"M;S;XL;XS"
;2265541433-1 блузка женская белый;98% хлопок,2% эластан;912.0;15;;https://optom-brend.ru/image/data/transfer/ZARINA/2265541433-1.jpg;"XL"
